Link Status,Description,IPFS Link,p5.js Versions,Other JS Libraries,Artifact URI HTTP,Artifact URI fxhash,Display URI HTTP,Display URI fxhash,Thumbnail URI HTTP,Thumbnail URI fxhash,Generative URI HTTP,Generative URI fxhash
working,LineWorX Volume 2 is artistic generative line art. P5Js 1600x1600 2024 Special thanks to Alejandro Campos for creating P5.brush,https://gateway.fxhash2.xyz/ipfs/QmZCD7gf2yPEPm7YZhqjRrBgACAZmkjQdADEUMvUCac4Xu,3.0.1 / 4.0.1,No other libraries found,https://gateway.ipfs.io/ipfs/QmfJ9vpCUWoNcLnRpTWvbjFaeXFvRJs7pWsRpkYhgHPPUy/?fxhash=ooZPQCuoVP1EEqXQDvjdw2vLRtwCa3T9RC3BqUe6PMUcP5xNfN9\u0026fxiteration=1\u0026fxminter=tz1AfhChW5zKzjhPsgPfgM7ztBY7QUSvhZST,https://gateway.fxhash2.xyz/ipfs/QmfJ9vpCUWoNcLnRpTWvbjFaeXFvRJs7pWsRpkYhgHPPUy/?fxhash=ooZPQCuoVP1EEqXQDvjdw2vLRtwCa3T9RC3BqUe6PMUcP5xNfN9\u0026fxiteration=1\u0026fxminter=tz1AfhChW5zKzjhPsgPfgM7ztBY7QUSvhZST,https://gateway.ipfs.io/ipfs/QmZDSifYcucVUDLSdmgjoYehSM9xQpg4gcKtFsF1DyLn6n,https://gateway.fxhash2.xyz/ipfs/QmZDSifYcucVUDLSdmgjoYehSM9xQpg4gcKtFsF1DyLn6n,https://gateway.ipfs.io/ipfs/QmPt3s4p9Ls7NMFr5dfFjFwKkaFmXLAQG81ZWCHgs6cJAR,https://gateway.fxhash2.xyz/ipfs/QmPt3s4p9Ls7NMFr5dfFjFwKkaFmXLAQG81ZWCHgs6cJAR,https://gateway.ipfs.io/ipfs/QmfJ9vpCUWoNcLnRpTWvbjFaeXFvRJs7pWsRpkYhgHPPUy,https://gateway.fxhash2.xyz/ipfs/QmfJ9vpCUWoNcLnRpTWvbjFaeXFvRJs7pWsRpkYhgHPPUy
working,"“Thus in the forest where my spirit takes exile  An old Memory rings in full force from the body!“  excerpt from “The Swan” by Charles Baudelaire ----- No joke, I felt like screaming many times throughout this project. A mass, a blob, both delicate and rough. “I created that!” I thought at some point while staring at the screen. In between being proud and lacking sleep, I felt ‘Scream, from atop’ creeping up my thoughts like a recurring dream, at times drawing me closer but others pushing me away. Conceptually it’s a bit of an evolution from ‘soft spot’, with whom it shares a few similarities under the hood. For this,  I combined 15 color palettes with 7 possible compositions.  Although they don’t all work flawlessly together, I’ve witnessed many interesting and surprising combinations emerge. At some point, I figured that it was ok for this project not to be afraid of its shortcomings. But to search in vulnerability for a relatable place, with genuine assumptions and comfort. This is ultimately where I land when working in such an abstract flow. At the end of each drawing loop, a timer starts, and after 180 seconds a new cycle begins, changing the composition and sometimes displaying different colors from the same palette.  It’s a way to imprint motion and further explore the system. Pressing [p] pauses cycling, and another press resumes [s] saves a PNG using the current resolution  [2] changes resolution to 4096x4096px - it’s the optimal resolution for visualizing [3] 6144x6144px  [4] 8192x8192px  [5] 10240x10240px  [6] 12288x12288px [1] reverts to the original resolution 2048x2048px Because of the drawing methods, increasing resolution may yield different or quirky results across specific combinations. It may take a while to draw at higher resolutions.  Firefox desktop app is currently not compatible.",-,No p5.js found,No other libraries found,-,-,https://gateway.ipfs.io/ipfs/QmeDATzUeCNhCWG8PjPAKYfpzzs543frzJwUedXhiUFu4m,https://gateway.fxhash2.xyz/ipfs/QmeDATzUeCNhCWG8PjPAKYfpzzs543frzJwUedXhiUFu4m,https://gateway.ipfs.io/ipfs/QmSm1fEnU9oi6euMwVJHMi51ifbFyKuoPfAU44xZGCtoRr,https://gateway.fxhash2.xyz/ipfs/QmSm1fEnU9oi6euMwVJHMi51ifbFyKuoPfAU44xZGCtoRr,-,-
working,"Neutrality can be problematic because, by avoiding taking a stance, one can ignore existing inequalities and injustices. This can lead to a false equivalence between unequal arguments and, consequently, distort the truth of the whole. Furthermore, neutrality can mask one's own prejudices and beliefs, preventing a complete and honest understanding of the facts. As an artist, I embrace neutrality in my abstract art to serve as a mirror for the viewer's own experiences and emotions. By maintaining a neutral stance, I invite a broader range of interpretations, making the art more accessible and personal to each individual who encounters it. What you find in these perlin noise roots are the variations in addition, subtraction and multiplication of colors in complex refractions of the voronoi, shapes and solids play a fundamental role in the distribution of color and spacing of the animation, the code will generate an animation in time Real with infinite progression, highly recommended to view in full screen.  Hydra.ojack.xyz fxhash.xyz marcelo.tez.page",https://gateway.fxhash2.xyz/ipfs/QmSuDfA4SUgtakE9j1vNJamNXzwnD7atANKETiao9R9qys,3.0.1 / 4.0.1,No other libraries found,https://gateway.ipfs.io/ipfs/QmbmhJJcEUSa4RXhKBKPieCKNMSMwJYZLMvEE65gwcXthn/?fxhash=ooiArphvSTSY85mA8pU5JCDQp3RFoMS4iV7m4LwGh8dsFX9tUfu\u0026fxiteration=1\u0026fxminter=tz1w9kdLNFNWnzUaMC4FsRESFTFdSjev9Sc2,https://gateway.fxhash2.xyz/ipfs/QmbmhJJcEUSa4RXhKBKPieCKNMSMwJYZLMvEE65gwcXthn/?fxhash=ooiArphvSTSY85mA8pU5JCDQp3RFoMS4iV7m4LwGh8dsFX9tUfu\u0026fxiteration=1\u0026fxminter=tz1w9kdLNFNWnzUaMC4FsRESFTFdSjev9Sc2,https://gateway.ipfs.io/ipfs/QmVJRrptKzPTyWvXEYMppC4wubveydSpCRJyBzQx9FrQsT,https://gateway.fxhash2.xyz/ipfs/QmVJRrptKzPTyWvXEYMppC4wubveydSpCRJyBzQx9FrQsT,https://gateway.ipfs.io/ipfs/QmefPhEZMqqQxadva6BwUBmZjrSLMdWek3mXktnKAkL5Sz,https://gateway.fxhash2.xyz/ipfs/QmefPhEZMqqQxadva6BwUBmZjrSLMdWek3mXktnKAkL5Sz,https://gateway.ipfs.io/ipfs/QmbmhJJcEUSa4RXhKBKPieCKNMSMwJYZLMvEE65gwcXthn,https://gateway.fxhash2.xyz/ipfs/QmbmhJJcEUSa4RXhKBKPieCKNMSMwJYZLMvEE65gwcXthn
Request Error: 500 Server Error: Internal Server Error for url: https://www.fxhash.xyz/generative/30664,-,-,-,-,-,-,-,-,-,-,-,-
"Request Error: HTTPSConnectionPool(host='www.fxhash.xyz', port=443): Read timed out. (read timeout=5)",-,-,-,-,-,-,-,-,-,-,-,-
working,"𝕷𝖚𝖒𝖎𝖓𝖔𝖟𝖆 𝕺𝖓𝖈𝖍𝖆𝖎𝖓 Save canvas: ""s"" PNG, ""j"" JPG Canvas size: 2970x4200 50% Royalties split with primary token minter",-,No p5.js found,No other libraries found,-,-,https://gateway.ipfs.io/ipfs/QmXuv5c7qcravSDZjmUKfPTEbt7ojWAfkaujD4MZMJ3krS,https://gateway.fxhash2.xyz/ipfs/QmXuv5c7qcravSDZjmUKfPTEbt7ojWAfkaujD4MZMJ3krS,https://gateway.ipfs.io/ipfs/QmR7GFDfEVWjLdMS127jxRTiCN8ffCGzu3GMQNAU5KBnbA,https://gateway.fxhash2.xyz/ipfs/QmR7GFDfEVWjLdMS127jxRTiCN8ffCGzu3GMQNAU5KBnbA,-,-
working,"Bioz is an interplay of flowing patterns and rhythmic distortions, resulting in an ever-changing landscape of swirling forms and dynamic textures. Carefully crafted out of complex algorithms and mathematical transformations, watch as new details constantly unfold in these ecosystems of organic movement and fluidity. ⎻ ⎻ ⎻ Controls: - Tap anywhere on the artwork to pause/resume - Press [Up] or [Down] arrow keys to zoom in and out of artwork - Press [1], [2] or [3] to change quality (1-low, 2-med, 3-high) ⎻ ⎻ ⎻ Created with GLSL and p5.js Fully responsive to any screen size ⎻ ⎻ ⎻",https://gateway.fxhash2.xyz/ipfs/QmXmU4D2RAs1pfPsfLCDPdVfuBD2wR4yAJL5yVtzUsBKjw,3.0.1 / 4.0.1,No other libraries found,https://gateway.ipfs.io/ipfs/Qma5aRBLCwd18hGP6ZzokbNbNtFWh9q4HM2rxWjBWWA64U/?fxhash=ooBCM75EE1LxnumrzKXEx96f5PjPXV6otrQp1EaDefe4BNA67GM\u0026fxiteration=1\u0026fxminter=tz1N16ArXVbAxzLaJPGfxPSkmf7FekJ4Hi3f,https://gateway.fxhash2.xyz/ipfs/Qma5aRBLCwd18hGP6ZzokbNbNtFWh9q4HM2rxWjBWWA64U/?fxhash=ooBCM75EE1LxnumrzKXEx96f5PjPXV6otrQp1EaDefe4BNA67GM\u0026fxiteration=1\u0026fxminter=tz1N16ArXVbAxzLaJPGfxPSkmf7FekJ4Hi3f,https://gateway.ipfs.io/ipfs/QmdgxVuRxGbzmvgsuHdiRM1os3dJCGk5aMnGqtL1Dmevor,https://gateway.fxhash2.xyz/ipfs/QmdgxVuRxGbzmvgsuHdiRM1os3dJCGk5aMnGqtL1Dmevor,https://gateway.ipfs.io/ipfs/QmcGmyP3fiNiZx24Nm3YUHctJr7qNLiGNenseKoEEXzcZa,https://gateway.fxhash2.xyz/ipfs/QmcGmyP3fiNiZx24Nm3YUHctJr7qNLiGNenseKoEEXzcZa,https://gateway.ipfs.io/ipfs/Qma5aRBLCwd18hGP6ZzokbNbNtFWh9q4HM2rxWjBWWA64U,https://gateway.fxhash2.xyz/ipfs/Qma5aRBLCwd18hGP6ZzokbNbNtFWh9q4HM2rxWjBWWA64U
working,Subtle double bubble trouble as seen from Hubble... Randomly generated views. 2048x2048px png,https://gateway.fxhash2.xyz/ipfs/QmStFUBKRCM9AqkBFFvnR3vNqNdmn1Prc8bwmBdwnxFvQ1,3.0.1 / 4.0.1,No other libraries found,https://gateway.ipfs.io/ipfs/QmQkrLFX55geujEsUTu7m8RY1soupjXe61TMLddZudNQkp/?fxhash=ooyEMe18WwvfcduDtLZTYwqgPqYGXq1jZ7FHCkZgMKNR7HDE6nH\u0026fxiteration=1\u0026fxminter=tz16X6h6UTuLxXQ45UwhKN9ftFGNEf1EkYUP,https://gateway.fxhash2.xyz/ipfs/QmQkrLFX55geujEsUTu7m8RY1soupjXe61TMLddZudNQkp/?fxhash=ooyEMe18WwvfcduDtLZTYwqgPqYGXq1jZ7FHCkZgMKNR7HDE6nH\u0026fxiteration=1\u0026fxminter=tz16X6h6UTuLxXQ45UwhKN9ftFGNEf1EkYUP,https://gateway.ipfs.io/ipfs/QmTGnADSq25yzRA6c2bbmTMt8CM3tEEawLhSF7cnmNNuqG,https://gateway.fxhash2.xyz/ipfs/QmTGnADSq25yzRA6c2bbmTMt8CM3tEEawLhSF7cnmNNuqG,https://gateway.ipfs.io/ipfs/QmX5RUDfdk6CutGD79Kr9hhdKCCxsE2VVaoUDuhXC3NQmz,https://gateway.fxhash2.xyz/ipfs/QmX5RUDfdk6CutGD79Kr9hhdKCCxsE2VVaoUDuhXC3NQmz,https://gateway.ipfs.io/ipfs/QmQkrLFX55geujEsUTu7m8RY1soupjXe61TMLddZudNQkp,https://gateway.fxhash2.xyz/ipfs/QmQkrLFX55geujEsUTu7m8RY1soupjXe61TMLddZudNQkp
working,A way of exploring compositional grids with blocks using colors and transparency.,https://gateway.fxhash2.xyz/ipfs/QmRs3xpUgDNkposBNhXm8LFmyw5iTfy8NuFJKK2RWUo6c7,3.0.1 / 4.0.1,No other libraries found,https://gateway.ipfs.io/ipfs/QmPRdW3bb9oKLYULzg539cNkmZCkQKjyq9RYzLruXpmjgu/?fxhash=ooj7tshiVhLpHpB7rHos82y5R3sHL9NNkodBE7BUHmABoGe9CwH\u0026fxiteration=1\u0026fxminter=tz1r6pWfFkqkN3MwZ7s6k8GZTvE3mbfvtx7m,https://gateway.fxhash2.xyz/ipfs/QmPRdW3bb9oKLYULzg539cNkmZCkQKjyq9RYzLruXpmjgu/?fxhash=ooj7tshiVhLpHpB7rHos82y5R3sHL9NNkodBE7BUHmABoGe9CwH\u0026fxiteration=1\u0026fxminter=tz1r6pWfFkqkN3MwZ7s6k8GZTvE3mbfvtx7m,https://gateway.ipfs.io/ipfs/QmbJ68mPkzqmKysRtzGWqQTQzvznADfB1EyQhhVxzf9yx9,https://gateway.fxhash2.xyz/ipfs/QmbJ68mPkzqmKysRtzGWqQTQzvznADfB1EyQhhVxzf9yx9,https://gateway.ipfs.io/ipfs/QmPAsACYzae1R8YayhuUk7TLaoso5ujh5bMuXvfzmEDJ6G,https://gateway.fxhash2.xyz/ipfs/QmPAsACYzae1R8YayhuUk7TLaoso5ujh5bMuXvfzmEDJ6G,https://gateway.ipfs.io/ipfs/QmPRdW3bb9oKLYULzg539cNkmZCkQKjyq9RYzLruXpmjgu,https://gateway.fxhash2.xyz/ipfs/QmPRdW3bb9oKLYULzg539cNkmZCkQKjyq9RYzLruXpmjgu
working,Made in Procreate,https://gateway.fxhash2.xyz/ipfs/QmdU7pmDSbaecWCaX34Syuvj6bmSrurPwPBbbi1iPv1d3N,3.0.1 / 3.3.0,No other libraries found,https://gateway.ipfs.io/ipfs/QmTKjdDM9JqXdR75so49GJWm2hy3poc6oBCPc92vQFQ5Ae/?fxhash=ooufA5CE9vFFgSHTmUsUFq1u93Y9FnYbwPwMF39vui1Anqf4tHd\u0026fxiteration=1\u0026fxminter=tz1NycSi6oewmpnGErPzVNZE67UoWNk95WVr,https://gateway.fxhash2.xyz/ipfs/QmTKjdDM9JqXdR75so49GJWm2hy3poc6oBCPc92vQFQ5Ae/?fxhash=ooufA5CE9vFFgSHTmUsUFq1u93Y9FnYbwPwMF39vui1Anqf4tHd\u0026fxiteration=1\u0026fxminter=tz1NycSi6oewmpnGErPzVNZE67UoWNk95WVr,https://gateway.ipfs.io/ipfs/QmbMq9Z5tTqb9mQEc8M1cxHCMVoqLyfUxkrMffduAiX3rW,https://gateway.fxhash2.xyz/ipfs/QmbMq9Z5tTqb9mQEc8M1cxHCMVoqLyfUxkrMffduAiX3rW,https://gateway.ipfs.io/ipfs/Qmak9ziT4zm4DB3v79mzZ6AfMvsRT4ZWM8HD3oYgnvYJmL,https://gateway.fxhash2.xyz/ipfs/Qmak9ziT4zm4DB3v79mzZ6AfMvsRT4ZWM8HD3oYgnvYJmL,https://gateway.ipfs.io/ipfs/QmTKjdDM9JqXdR75so49GJWm2hy3poc6oBCPc92vQFQ5Ae,https://gateway.fxhash2.xyz/ipfs/QmTKjdDM9JqXdR75so49GJWm2hy3poc6oBCPc92vQFQ5Ae
